rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,layout,dim,data_offset,data
1666985371005493056,,3585,,1666985370,997355054,'',,,[],0,"[86.26587677001953, 172.28736877441406, 240.71360778808594, 48.14271926879883, 56.940364837646484, 192.8152618408203, 318.9149475097656, 45.21017074584961, 35.43498611450195, 86.26587677001953, 273.94915771484375, 44.2326545715332, 36.41250228881836, 58.8953971862793, 335.53277587890625, 43.2551383972168]"
1666985371206174736,,3586,,1666985371,197355054,'',,,[],0,"[84.31084442138672, 167.39979553222656, 240.71360778808594, 48.14271926879883, 55.96284866333008, 190.8602294921875, 317.93743896484375, 46.187686920166016, 38.367557525634766, 84.31084442138672, 278.8367919921875, 45.21017074584961, 40.32258987426758, 56.940364837646484, 331.6227111816406, 42.27762222290039]"
1666985371402836706,,3587,,1666985371,396355054,'',,,[],0,"[87.24339294433594, 165.44476318359375, 237.7810516357422, 50.09775161743164, 54.007816314697266, 188.9051971435547, 322.82501220703125, 45.21017074584961, 40.32258987426758, 86.26587677001953, 273.94915771484375, 48.14271926879883, 34.45746994018555, 56.940364837646484, 331.6227111816406, 41.300106048583984]"
1666985371603497030,,3588,,1666985371,596355054,'',,,[],0,"[82.3558120727539, 164.4672393798828, 237.7810516357422, 46.187686920166016, 55.96284866333008, 187.92767333984375, 319.8924560546875, 45.21017074584961, 35.43498611450195, 85.28836059570312, 273.94915771484375, 49.120235443115234, 35.43498611450195, 61.827945709228516, 330.6451721191406, 40.32258987426758]"
1666985371804303955,,3589,,1666985371,795355054,'',,,[],0,"[84.31084442138672, 167.39979553222656, 236.8035430908203, 46.187686920166016, 54.98533248901367, 184.99513244628906, 319.8924560546875, 43.2551383972168, 39.34507369995117, 77.46823120117188, 273.94915771484375, 48.14271926879883, 36.41250228881836, 56.940364837646484, 322.82501220703125, 40.32258987426758]"
1666985372005816064,,3590,,1666985371,998355054,'',,,[],0,"[85.28836059570312, 168.37730407714844, 229.96092224121094, 46.187686920166016, 53.03030014038086, 191.83773803710938, 323.8025207519531, 48.14271926879883, 40.32258987426758, 83.33332824707031, 276.8817443847656, 49.120235443115234, 33.47995376586914, 58.8953971862793, 325.7575988769531, 39.34507369995117]"
1666985372205798205,,3591,,1666985372,198180892,'',,,[],0,"[86.26587677001953, 166.42227172851562, 236.8035430908203, 45.21017074584961, 58.8953971862793, 192.8152618408203, 317.93743896484375, 52.05278396606445, 40.32258987426758, 87.24339294433594, 276.8817443847656, 46.187686920166016, 32.502437591552734, 55.96284866333008, 323.8025207519531, 43.2551383972168]"
1666985372406283048,,3592,,1666985372,398180892,'',,,[],0,"[85.28836059570312, 164.4672393798828, 236.8035430908203, 48.14271926879883, 58.8953971862793, 190.8602294921875, 315.0048828125, 51.07526779174805, 41.300106048583984, 82.3558120727539, 273.94915771484375, 48.14271926879883, 35.43498611450195, 55.96284866333008, 323.8025207519531, 41.300106048583984]"
1666985372603081841,,3593,,1666985372,597180892,'',,,[],0,"[83.33332824707031, 168.37730407714844, 230.93844604492188, 48.14271926879883, 53.03030014038086, 196.72532653808594, 315.0048828125, 53.03030014038086, 38.367557525634766, 85.28836059570312, 270.0390930175781, 48.14271926879883, 30.547405242919922, 60.85042953491211, 321.8475036621094, 40.32258987426758]"
1666985372803756866,,3594,,1666985372,796180892,'',,,[],0,"[86.26587677001953, 165.44476318359375, 232.8934783935547, 47.16520309448242, 52.05278396606445, 190.8602294921875, 313.0498352050781, 46.187686920166016, 38.367557525634766, 81.3782958984375, 271.9941101074219, 46.187686920166016, 33.47995376586914, 64.7605209350586, 327.712646484375, 48.14271926879883]"
1666985373004514406,,3595,,1666985372,996180892,'',,,[],0,"[87.24339294433594, 168.37730407714844, 235.82601928710938, 45.21017074584961, 52.05278396606445, 189.88270568847656, 308.1622619628906, 48.14271926879883, 40.32258987426758, 86.26587677001953, 269.06158447265625, 48.14271926879883, 36.41250228881836, 63.78300476074219, 322.82501220703125, 42.27762222290039]"
